health_district,total_population,latitude,longitude
Alexandria,155810,38.81520081,-77.09030151
Alleghany,179082,37.55977631,-79.99196625
Arlington,230050,38.8810997,-77.10790253
Central Shenandoah,296650,38.16270065,-79.34597015
Central Virginia,260232,37.4007988,-79.18409729
Chesapeake,237940,36.70830154,-76.27629852
Chesterfield,385224,37.44086456,-77.70627594
Chickahominy,155278,37.77170181,-77.55210114
Crater,155665,36.99669647,-77.35082245
Cumberland Plateau,106666,37.11483002,-81.97470093
Eastern Shore,45086,37.64686585,-75.73339844
Fairfax,1176830,38.85200119,-77.30210114
Hampton,135410,37.05089951,-76.40699768
Henrico,326501,37.53170013,-77.30310059
Lenowisco,89201,36.8993988,-82.59295654
Lord Fairfax,232295,38.94839859,-78.34683991
Loudoun,385945,39.08580017,-77.66419983
Mount Rogers,189178,36.81846619,-81.30799103
New River,182876,37.1211319,-80.53387451
Norfolk,245115,36.8987999,-76.23889923
Peninsula,351436,37.27899933,-76.69390106
Piedmont,102752,37.25360107,-78.34249878
Pittsylvania-Danville,103585,36.81069183,-79.39746857
Prince William,512608,38.70410538,-77.47731781
Rappahannock,360830,38.18447495,-77.43481445
Rappahannock Rapidan,175151,38.50559998,-78.00180054
Richmond,223170,37.52410126,-77.46080017
Roanoke,99660,37.27320099,-79.95980072
Southside,82127,36.80310059,-78.91730499
Thomas Jefferson,249537,38.04000092,-78.47789764
Three Rivers,140950,37.70660019,-76.86019898
Virginia Beach,452602,36.74110031,-76.03350067
West Piedmont,138882,36.88679886,-79.92506409
Western Tidewater,152232,36.75121307,-76.87599182

